eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,573.29773243,511,0.005591335,0.067993164,8.382225,1.0219519e-06,23.397665,0.3889615535736084,1260,2580480,5052.639513806,2580480
1000.0,565.8347987200001,514,0.016052542,0.24060059,8.356006,0.0006240704,11.820868,0.06003749370574951,1270,2600960,5092.429351085,2600960
1000.0,565.06758407,514,0.014008394,0.21069336,8.3567095,-2.653303e-05,11.559108,0.029477298259735107,1280,2621440,5132.287461866999,2621440
1000.0,541.0689224199999,499,0.0071317665,0.09448242,8.376389,0.0021957904,292.19254,0.3581967353820801,1290,2641920,5172.47806408,2641920
1000.0,519.8384109100001,509,0.010682731,0.1505127,8.3719425,-0.0025090296,13.127586,-0.027652740478515625,1300,2662400,5212.297725068,2662400
1000.0,528.8931532099999,514,0.007735495,0.1027832,8.350231,-0.00070248346,12.34987,0.10371136665344238,1310,2682880,5252.485413005001,2682880
1000.0,533.2813711,518,0.006343462,0.08984375,8.347702,-0.0010382308,13.678083,0.10837459564208984,1320,2703360,5292.4827724120005,2703360
1000.0,535.2644727200001,514,0.0060088006,0.076293945,8.319136,-0.0028562297,12.918238,0.06961321830749512,1330,2723840,5332.206179811999,2723840
1000.0,584.1001307,509,0.015430831,0.22021484,8.317019,-0.002776544,13.780926,0.0527268648147583,1340,2744320,5372.146175431,2744320
1000.0,589.69346803,498,0.015234021,0.23303223,8.328052,-0.0010599198,14.276079,0.04854142665863037,1350,2764800,5412.176190460001,2764800
1000.0,593.78203483,506,0.009122249,0.13293457,8.306435,-6.400715e-05,13.8091,0.030921518802642822,1360,2785280,5451.886809,2785280
1000.0,601.7203742300001,506,0.012573044,0.18737793,8.306918,-0.0031814366,13.543882,0.07061344385147095,1370,2805760,5491.743918357999,2805760
1000.0,586.4470500399999,499,0.018997813,0.24169922,8.312906,0.0007949991,14.126172,0.12238943576812744,1380,2826240,5531.792490854999,2826240
1000.0,588.9349949499999,512,0.020118752,0.272583,8.312801,-0.0013174507,14.683187,0.04809415340423584,1390,2846720,5571.273404721,2846720
1000.0,586.83687045,508,0.012903147,0.18115234,8.282635,-0.0048768534,14.25864,0.10892337560653687,1400,2867200,5611.245143164,2867200
1000.0,592.86775855,490,0.015993565,0.22937012,8.2555065,-0.00037688564,14.453232,0.028361499309539795,1410,2887680,5651.318442938,2887680
1000.0,598.99379813,512,0.013347943,0.19628906,8.250681,-0.0038805832,15.5692425,0.12087011337280273,1420,2908160,5691.253321098,2908160
1000.0,623.3138831299999,514,0.009073132,0.12780762,8.244604,0.0017312127,16.596043,0.06771856546401978,1430,2928640,5731.0109864450005,2928640
1000.0,628.42212739,503,0.02509621,0.30371094,8.211106,-0.0032893443,15.376753,0.061923205852508545,1440,2949120,5770.767784289999,2949120
1000.0,643.50101741,505,0.009707361,0.1427002,8.209107,-0.002335385,16.983442,0.09340894222259521,1450,2969600,5810.562053309999,2969600
1000.0,654.93066097,514,0.0111435875,0.16101074,8.190605,-0.0022266982,17.61777,0.06283146142959595,1460,2990080,5850.2909048189995,2990080
1000.0,664.8587626399999,502,0.007968307,0.11230469,8.179324,-0.002789841,17.703072,0.06754785776138306,1470,3010560,5890.064865422,3010560
1000.0,674.4429576900001,508,0.014128486,0.20166016,8.165554,0.0015172942,22.647026,0.11744433641433716,1480,3031040,5929.875568984,3031040
1000.0,682.6191818199998,511,0.016315151,0.22937012,8.14135,-0.0024921407,18.140911,0.1300894021987915,1490,3051520,5969.827350113999,3051520
1000.0,686.3298352400001,507,0.0071355477,0.099121094,8.104227,-0.0014926187,27.192743,0.05444991588592529,1500,3072000,6009.456887663,3072000
1000.0,688.2665468100001,517,0.0087869875,0.12512207,8.09496,-0.0028963867,18.321693,0.07128840684890747,1510,3092480,6049.103283069,3092480
1000.0,690.31752035,508,0.007847745,0.110961914,8.047782,-0.0014517647,19.337965,0.001811981201171875,1520,3112960,6088.880135136,3112960
