# {"t_start": 1587161644.6280663, "env_id": "HalfCheetahBulletEnv-v0"} 
r,l,t
603.612202,1000,5467.652123
596.740231,1000,5469.684052
622.850403,1000,5471.601637
600.018297,1000,5473.635149
614.106815,1000,5475.480762
609.466265,1000,5477.558616
612.272705,1000,5479.375087
609.683466,1000,5481.447284
614.766355,1000,5483.273702
613.746691,1000,5485.290996
586.960409,1000,5487.128221
606.615037,1000,5489.204966
584.783038,1000,5491.035833
602.345584,1000,5493.13355
541.595699,1000,5494.993361
634.160213,1000,5497.014127
625.131657,1000,5498.86116
595.639663,1000,5500.901922
634.908002,1000,5502.742137
640.845807,1000,5504.784695
625.859796,1000,5506.607676
643.66121,1000,5508.670135
618.678053,1000,5510.554163
624.109937,1000,5512.38139
596.642199,1000,5514.443961
617.985603,1000,5516.300544
650.006532,1000,5518.305233
-1523.818462,1000,5520.188972
591.491575,1000,5522.257498
604.601532,1000,5524.07986
615.212948,1000,5526.154564
631.675242,1000,5528.080105
635.726852,1000,5530.103636
630.703171,1000,5532.067105
604.627002,1000,5534.14954
616.743616,1000,5535.977892
618.217111,1000,5538.031613
620.73395,1000,5539.846564
632.702476,1000,5541.907288
610.772076,1000,5543.731484
612.813577,1000,5545.752134
619.620579,1000,5547.54578
621.551701,1000,5549.583905
618.827336,1000,5551.419344
624.414991,1000,5553.434365
620.903995,1000,5555.235975
631.806949,1000,5557.273227
634.477715,1000,5559.113124
604.592707,1000,5561.168056
627.431942,1000,5562.967696
610.322328,1000,5564.957121
610.665106,1000,5566.758092
619.305204,1000,5568.834696
626.356142,1000,5570.693053
631.401192,1000,5572.743009
624.526043,1000,5574.57348
599.740776,1000,5576.613382
631.439509,1000,5578.452444
610.09839,1000,5580.486338
41.082367,1000,5582.367168
622.912601,1000,5584.404566
624.161341,1000,5586.209777
615.54019,1000,5588.302642
629.983905,1000,5590.141329
632.593931,1000,5592.268141
636.848979,1000,5594.116313
625.731467,1000,5595.95307
606.410785,1000,5598.021812
617.764609,1000,5599.876777
632.900091,1000,5601.963854
617.058318,1000,5603.773675
621.297728,1000,5605.834302
646.484007,1000,5607.687393
629.774888,1000,5609.746707
617.608079,1000,5611.58986
621.876723,1000,5613.688139
598.439724,1000,5615.512266
628.884295,1000,5617.538282
640.381433,1000,5619.398158
641.136603,1000,5621.418304
631.596078,1000,5623.254538
629.617435,1000,5625.267737
617.528309,1000,5627.096198
648.904058,1000,5629.16045
599.36824,1000,5630.982927
630.773658,1000,5633.061906
650.280284,1000,5634.898361
644.692117,1000,5636.927334
617.96047,1000,5638.773908
628.407499,1000,5640.853674
625.83203,1000,5642.687669
608.978927,1000,5644.751695
636.927452,1000,5646.65533
632.29539,1000,5648.789075
629.442142,1000,5650.635057
626.161489,1000,5652.871439
613.762416,1000,5654.798932
657.124485,1000,5656.844137
625.498736,1000,5658.68718
627.659552,1000,5660.764756
646.086646,1000,5662.637249
613.428408,1000,5664.656115
654.723894,1000,5666.520819
637.180996,1000,5668.581959
616.454944,1000,5670.4224
638.845536,1000,5672.452464
635.751424,1000,5674.305654
637.877468,1000,5676.357147
654.076745,1000,5678.205723
629.046474,1000,5680.033681
657.050958,1000,5682.0832
652.399715,1000,5683.922379
630.262086,1000,5685.952973
626.194261,1000,5687.796277
644.690882,1000,5689.878073
650.472815,1000,5691.699915
